fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
661,202006,N,203505,41540,000,1,P,36,19,66000,36,2.875,R,N,FRM,MD,SF,21800,F20Q10000001,N,180,02,Other sellers,Other servicers,,,9,,2,N
681,202003,N,205002,45820,30,1,P,95,13,52000,95,5.75,R,N,FRM,KS,SF,66400,F20Q10000002,P,360,01,Other sellers,U.S. BANK N.A.,,,9,,2,N
775,202004,N,205003,,25,1,P,87,29,248000,87,3.25,R,N,FRM,CO,SF,81200,F20Q10000003,P,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
770,202003,N,203502,41180,000,2,I,65,14,125000,65,3.625,R,N,FRM,MO,SF,63300,F20Q10000004,N,180,01,Other sellers,Other servicers,,,9,,2,N
791,202004,N,205003,10580,000,1,P,80,33,58000,80,3.875,R,N,FRM,NY,SF,12100,F20Q10000005,P,360,01,Other sellers,Other servicers,,,9,,2,N
697,202004,N,205003,14860,000,1,P,68,35,263000,68,3.75,R,N,FRM,CT,SF,06800,F20Q10000006,N,360,01,Other sellers,Other servicers,,,9,,2,N
695,202003,N,205002,31084,12,1,P,85,34,460000,85,3.875,R,N,FRM,CA,SF,91700,F20Q10000007,N,360,02,Other sellers,Other servicers,,,9,,2,N
728,202003,N,203502,12060,000,1,P,59,27,160000,59,3.75,R,N,FRM,GA,SF,30200,F20Q10000008,C,180,01,Other sellers,Other servicers,,,9,,2,N
620,202003,N,203502,18140,000,1,P,43,24,81000,43,3.25,R,N,FRM,OH,SF,43000,F20Q10000009,N,180,02,Other sellers,Other servicers,,,9,,2,N
756,202005,N,205004,45780,000,1,P,89,38,292000,74,3.375,R,N,FRM,OH,SF,43600,F20Q10000010,N,360,01,Other sellers,Other servicers,,,9,,2,N
718,202003,N,203502,,000,1,S,70,48,113000,70,3.25,R,N,FRM,MN,PU,56500,F20Q10000011,N,180,01,Other sellers,"PNC BANK, NA",,,9,,2,N
746,202003,N,203502,33700,000,1,P,48,45,175000,48,3.75,R,N,FRM,CA,SF,95300,F20Q10000012,C,180,02,Other sellers,Other servicers,,,9,,2,N
735,202005,N,205004,,000,1,P,80,35,184000,80,3.375,R,N,FRM,MN,SF,56500,F20Q10000013,C,360,02,Other sellers,Other servicers,,,9,,2,N
785,202003,N,205002,,000,1,P,78,46,475000,78,3.375,R,N,FRM,CO,SF,81200,F20Q10000014,N,360,01,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
